1/1/2014,"great idea, 10 out of ******* 10, while we are at it why don't we ban anything larger than a cruiser so the dumb highsec carebears don't get to do 4/10 sites and be able to take down someone elses pos.why dont we just make all space under .05 into null, and remove concord"
1/1/2014,"so one gets a supplementary force of drones and yet gets a extra slot while the one with the supplementary force of guns and gets 1 less.consider also the instant damage of guns [less for missiles and rockets of course] compared to drones which a lot of the time have to travel to range of their target. add also the range of missile and turret damage rigs while drone boats have none.regarding ammo i think that ammo can indeed be used to engage different class sizes. you switch to void, in a small ship to engage cruisers and above while null/antimatter is for small stuff."
1/1/2014,"it sounds like you want a more open 'court' system. this has failed terribly in real life ( in ca ans us ), and i can't imagine if you asked the internet to play jury!i very much doubt that gm's go around with a ban hammer and start swinging at anything that moves. they likely have proof and just cause however if they start revealing how they ban people then the ones being banned will know how to avoid / fight it. this is how our real life system got so messed.i feel bad f you got banned and are 100% in the clear, i say fight it, go to the csm members directly, e-mail ccp directly, but do not put it up here! even if you had the best and most 'clean' evidence of your actions, once it goes public ccp cannot reverse it!! it sets a precedence for others to follow and soon the system if flooded with players who did something stupid, got banned but can follow formula a-b-c to try and get the ban reversed."
1/1/2014,"yes gm's can arrive at different conclusions. but then you can always ask to escalate the petition to a senior gm, if you feel the decision was wrong or unjust.but i disagree with allowing the discussion of gm actions on the forum, in any way.destination skillqueue:- it's like assuming the lions will ignore you in the savannah, if you're small, fat and look helpless."
1/1/2014,"it's a basic rule for internet forum: admin/gm/etc decisdion are not a topic for pubblic discussion.when not so (i think anyone with experiense in sites/forum managment could confirm this) the whole forum is floodded with circular, self-referential discussions damaging the real forum topics and purpose."
1/1/2014,"1. wrong, the titan aoe doomsday was removed because it provided an insurmountable wall to any large fleet. 2 titans on a gate and no fc would dare jump in, or cyno in, or even get on grid with. if your premise were true, smartbombs would be removed as well as stealth bomber bombs. 2. that's war, things change. i actually like this proposal to a certain degree. the current line on caldari dreads is ""get a real dread"" perhaps if the caldari created a smartbomb effect on detonation, this would become a viable counter to the bootcat drone assist psudo exploit and return a dread to a viable fleet participant instead of a source for capital components for other ships."
1/1/2014,
1/1/2014,
1/2/2014,"both of you have limited experiences with what can do.as pointed out by my post, the bomber doesn't have ""niches""; we bring it along for every gank because the insta-point is uncounterable.any ship with a flight of light drones _can_ get rid of a solo stealth bomber, but i've still killed plenty of battlecruisers with one to three .there is a world outside blopsing. we fly bombers all the time without recons. even if they're glass cannons, the cost of the is just too low for what they're ganking. there's no risk to bringing a covops frig that craps out damage. the fact that it guarantees that you will point your target makes it even better.while most kills show that the rats have dealt the most damage, the ratting ships tend to be at nearly full hp - otherwise, they wouldn't be effective ratting ships. work because the ratting ships have no buffer and can't rep the burst damage.utter rubbish, you say? as you can see, the engagement profile is just too wide."
1/2/2014,"what a terrible terrible idea.boils down to ""lets force people out of hi-sec in order to make them play the game how i want them to play""op has not given this any thought whatsoever about how this would affect eve as a whole.jint hikaru - miner / salvager / explorer / spacebum in the beginning the universe was created. this has made a lot of people very angry and been widely regarded as a bad move."
