3/30/2008	"what's your real name? the csm documentation states that you must run under your real name. (edit: page 14, halfway)i don't see it listed on your campaign site, it'd be a shame if we wouldn't know who to vote for"
3/30/2008	"one time a soul of fountain guy got snippy with me in some forum thread that i no longer have any detailed recollection of. strike one.the big website states that you have a join date of 2002, indicating that you have access to a time machine. you have clearly used this machine to carry the eve server back to a year before eve was launched and join then, and yet you have never offered anyone else an opportunity to use this wondrous device. strike two.i am posting in general discussion again, obviously the worst forum on the internet, thanks to your thread. strike three. (tbh)"
3/30/2008	"in the summery pdf (page 3) it is further ""defined"" asso i prefer to wait for that"
3/30/2008	"tornsoul, you fa relic, who dug you out of the moltballs?"
3/30/2008	can be much worse then this forum.anyway: do you also have anything you want to do in csm that not everyone else also wants? now the only way you are different from part of the others is that you dont do pvp.because if i look at your list: then i am pretty sure every candidate says that.
3/30/2008	"not so much a time machine, as an alternate universe machine there was an eve before this eve... in fact there was several... (also called beta )"
3/30/2008	"ah, in true ccp style, the summary includes information not in the actual document"
3/30/2008	"in fact i haven't seen anyone specifically state so.but apart from that, i'd (naturally..) surely hope that other csm candidates would value the same issues.would be a great start on the csm if everyone would agree on what needed to be done - dont you think?"
3/30/2008	"ts, your comedy value is below sealevel, no chance man. old lemons are still lemons :d"
3/30/2008	make that two soul of fountain guys
3/30/2008	"i havent seen other topics like these (havent been looking for them), but i just guess everyone has those points you have. then the simple question, why vote on you when others got the same points? if everyone agrees with each other this is going to be a really boring election..."
3/30/2008	"thats actually a pretty good point.i think that once the campaigning really starts to heat up, a few topics will emerge that the different candidates differ on, and over which much argumentation will ensue right now however, i agree, it's a bit meh meh - not really anything that makes individual candidates stand out much from each other.maybe you can get the ball rolling by bringing up a few subjects/issues of your own?and i'll give them a lookover and give my opinion."
3/30/2008	"got to go sleeping, so this is my last one for a while, but for example:1. how do you want to improve low sec, and especially risk/reward2. what to do against laggy fleet battles. better hardware = more people who join the battle = same ammount of lag. so i suppose that somehow you need to give people a reason to split their forces, but how to do that :)edit: and since you arent doing much pvp (only pvp i do is losing my ship :p), same question for jita and some mission hubs lag."
3/30/2008	"ah - good stuff.and definatly potentially controversial 1. this one would take almost a thesis to answer tbh...and my answer might not be in the direction you expect.in line with my campaign motto ""the big picture"", this is what you need to look at first and foremost.and one of the fundamental flaws with ""the big picture"" of eve is the current population distribution.ie. way way way too many people in empire.why is this? well it must obviously be that for most people it's simply ""better"" for them to be there (and each have their own defination of what ""better"" is)so what has this got to do with low sec?well... i think it's not so much a question of improving low sec, but rather ""give incentive"" to go to other places of eve - to be able to have a living to your liking in other parts of eve.and when i say ""give incentive"" i dont only mean positive incentives...sometimes you need to ""force"" (or rather coerce) certain groups of peoples behavior, in order to obtain whats best for all in the long run.i'll give a very specific example of this (which can't stand alone mind you)i belive that ccp's view (or at least their implementation) of the current jump lines/high ways is fundamentally flawed - and is a major component in why we have this f... up distribution of people in eve.way back when, in the very early days of eve, we had far less super highways than we do today. many many of those where added later.at the time it made *some* sense, as eve was less populated at the time.but even ccp realised something was wrong, and did a bit of re-wiring.this re-wiring removed luminaire as the trade hub, but simply replaced it with jita.ccp simply didnt go far enough... and, i believe, dont understand (or disagree) with what really need to be done.we dont need *more* jump lanes, we need less.once the above is solved, i think you'll see low sec ""evening out"", and it will no longer be a question so much of improving low sec, as of improving every where else as well.there... told ya it would be long... and it's not even 1/10th of what i could add to the subject... which is a bti of tangent from what you asked... but never the less is part of the long term solution2:while not much of a pvper, it doesnt mean i dont have a clue about pvp game mechanics :-) and an opinion.in fact i've incidently posted an idea exactly on a way to get rid of the blob some days ago.it wasnt very well recieved i'm afraid...defeating the blobi still belive the idea has merit though.sometimes tough problems require tough solutions.in the end it's about tailoring the game in a way that takes advantage of ""human (competetive) nature"" in order to ""coerce"" the playres into certain patterns of behaviour thats to the overall advantage of the game - and ultimately the individual players.unfortunatly human nature is also generally adverse to change... as i think the replies to my suggestion implies..."
3/30/2008	"get yourself listed in winterblinks thread as well tournsoul, and good luck!"
3/30/2008	"""definitely"" ""definition"" ""believe""""received""""believe"" ""competitive"" ""unfortunately""the illiteracy is strong with this one.i thought csm needed hamsters who could spell correctly.edit - ""members"" just became ""hamsters""."
