9/1/2011,"thanks for your support.i disagree with the 'locked only' or 'selected only' filters because small gangs means quick action, you have seconds to react if a tackler comes for you, you don't want to miss it because you hadn't selected it. clutter should be reduced enough using the overview rules to show/hide the vectors. it could however be added as an additional overview rule, so you have the option but you don't have to use it.about the limit, consider that after all each ship drawn on screen is already quite a number of lines (and textures), it doesn't seem reasonable to me that one more vector per ship may slow down the client. what shenanigans are you thinking about?"
9/1/2011,"hi demichael and allfirstly a big thank you on the onset for all the gigantic work you have posted so far which has helped stabilise and raise simultaneously factional standings on all fronts.i would also support your recommendations on either options about the re-institutions of former tutorial agents in the form of new political agents, as you recommended.these agents provided a quick heads-up to factional standings in the early days just by completing a series of 2 simple missions and they provided in such a glimpse in the policital front of factions and factional standings.in that sense i would support their re-institution as in option 2 in an improved way as to have 1 endless battle mission series offered once for each level (1 to 5) for each capsuleer edcation center of each races. as a back-up plan re-institutions of the agents as suggested in option 1 would also be useful and as you say less time consuming as the scipts must be ready.thank you once again for all the work and support you have been in smart missioning as well as the rehabilitation of eroded factional standings.bestpam"
9/1/2011,"ever been in a wormhole? you should try it, then you'd realize how weak you sound right now."
9/1/2011,i have been there and i don't believe that way it works now is good game design.
9/1/2011,no
9/1/2011,cosmetic only
9/1/2011,wow is this still going?i thought it was done....no - i already pay to have fun i dont want some snotty nose rich boy spoiling my $20 of fun!
9/1/2011,no
9/1/2011,no
9/1/2011,no
9/1/2011,totally +1
9/1/2011,"nobody from the csm has even bothered to look at this......is frankly pathetic.i posted it in the assembly hall, with a big proposal on the top.nobody reads anything."
9/1/2011,"i have to agree, something needs to be changed, perhaps something simple.signed, i to would like to see some action taken."
9/1/2011,"vizvig, i think you're missing a few of my points, your numbers on null sec are exaggerated, and your nulli tengu bot phantom pulling in 300 m isk an hour, 23 hours a day, is pure fiction. as far as the risk to reward ratio, you have misunderstood my averages concerning incursionists, and you are comparing bots to players; your analogy is out of context.for reference, a super carrier might be able to rip through a sanctum in 20-25 minutes and generate an income of 120+ m isk per hour; i know a carrier can do about 60 m isk an hour on sanctums. as far as a bot roaming from system to system, scanning down a juicy sites and by luck getting and following a full trail of expeditions leading to loot worth a 1 b + isk ...get your face out of that pipe!you might be waiting around for 1-2 hours to get into a fleet, but that does not mean there are not active fleets rifling through these sites. it only means you are not in a fleet rifling through these sites. aren't you making new friends? your estimate of what an average incursionist might earn in one day is out of context with the average i put forth. i don't think any individual player is running incursions 23/7; but at any given time there are a number of players churning out that level of payout off of incursions. my estimate was that between 160-480 players were engaging incursion sites at any given time over the whole day, not the same 160-480 players over the whole day. i even reduced my payout estimates to accommodate some criticism to suggest that even such a low ball estimate indicates a problem.the elite faction fleets i mentioned, might be displacing your access to incursion fleets. you mentioned that you only pull in 40 m isk when you get around to doing incursions. are you trying to get through the sites as quickly as possible to maximize your return? is your fleet in competition with other fleets in system, which minimizes your access to sites? are you and or whoever you fleet up with experienced or competent with incursions? with out explanation, i have to admit that at face value your 40m an hour seems quite feeble."
